"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteButton.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 60
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteJobButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteNewsButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteProjectButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteTestimonialButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/DeleteUserButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 58
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/NotificationPanel.tsx", "TypeScript JSX", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 189
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/ProtectedLayout.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 64
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/careers/ApplicationStatusForm.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 92
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/src/components/admin/careers/JobForm.tsx", "TypeScript JSX", 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34, 349
